NAME:INTPTLAT,INTPTLONG                                                                                                               
Autauga County:32.532237,-86.64644                                                                                                                  
Baldwin County:30.659218,-87.746067                                                                                                            
Barbour County:31.870253,-85.405104                                                                                                                
Bibb County:33.015893,-87.127148                                                                                                                     
Blount County:33.977358,-86.56644                                                                                                                   
Bullock County:32.101759,-85.717261                                                                                                                  
Butler County:31.751667,-86.681969                                                                                                                   
Calhoun County:33.770516,-85.827909                                                                                                                  
Chambers County:32.915504,-85.394032                                                                                                                
Cherokee County:34.069515,-85.654242                                                                                                              
Chilton County:32.854051,-86.726607                                                                                                                 
Choctaw County:31.990954,-88.248889                                                                                                                 
Clarke County:31.685521,-87.818624                                                                                                                 
Clay County:33.2704,-85.863525                                                                                                                       
Cleburne County:33.671964,-85.516126                                                                                                                 
Coffee County:31.402258,-85.989602                                                                                                                   
Colbert County:34.703112,-87.801457                                                                                                                
Conecuh County:31.430926,-86.988722                                                                                                                    
Coosa County:32.931445,-86.243482                                                                                                                  
Covington County:31.243987,-86.448721                                                                                                             
Crenshaw County:31.732826,-86.319222                                                                                                                 
Cullman County:34.131923,-86.869267                                                                                                                 
Dale County:31.430654,-85.609476                                                                                                                     
Dallas County:32.33354,-87.114356                                                                                                                  
DeKalb County:34.460929,-85.803992                                                                                                                   
Elmore County:32.597229,-86.142735                                                                                                                 
Escambia County:31.122287,-87.16841                                                                                                                 
Etowah County:34.047641,-86.034263                                                                                                                  
Fayette County:33.716157,-87.764292                                                                                                                  
Franklin County:34.441989,-87.842814                                                                                                               
Geneva County:31.092382,-85.821022                                                                                                                   
Greene County:32.844497,-87.9642                                                                                                                   
Hale County:32.752796,-87.623061                                                                                                                   
Henry County:31.516978,-85.239971                                                                                                                    
Houston County:31.158183,-85.296411                                                                                                                  
Jackson County:34.764114,-85.980056                                                                                                              
Jefferson County:33.553444,-86.896536                                                                                                             
Lamar County:33.787085,-88.087431                                                                                                                    
Lauderdale County:34.904122,-87.650997                                                                                                            
Lawrence County:34.529776,-87.321865                                                                                                               
Lee County:32.604064,-85.353048                                                                                                                     
Limestone County:34.810239,-86.981399                                                                                                             
Lowndes County:32.147888,-86.650586                                                                                                                 
Macon County:32.387027,-85.692887                                                                                                                    
Madison County:34.764238,-86.55108                                                                                                                 
Marengo County:32.247591,-87.791091                                                                                                                 
Marion County:34.138219,-87.881551                                                                                                                   
Marshall County:34.309564,-86.321668                                                                                                              
Mobile County:30.684572,-88.196568                                                                                                              
Monroe County:31.580332,-87.383266                                                                                                                  
Montgomery County:32.202881,-86.204461                                                                                                             
Morgan County:34.454484,-86.846402                                                                                                                   
Perry County:32.639005,-87.293827                                                                                                                   
Pickens County:33.296793,-88.096863                                                                                                                  
Pike County:31.798651,-85.941604                                                                                                                     
Randolph County:33.296475,-85.464068                                                                                                                 
Russell County:32.289811,-85.18698                                                                                                                   
St. Clair County:33.712963,-86.315663                                                                                                              
Shelby County:33.263043,-86.678089                                                                                                                 
Sumter County:32.597481,-88.200057                                                                                                                  
Talladega County:33.369314,-86.17593                                                                                                               
Tallapoosa County:32.863308,-85.799618                                                                                                            
Tuscaloosa County:33.29022,-87.522783                                                                                                             
Walker County:33.791558,-87.301094                                                                                                                 
Washington County:31.405217,-88.197564                                                                                                              
Wilcox County:31.990082,-87.304935                                                                                                                  
Winston County:34.154566,-87.365346                                                                                                                
Aleutians East Borough:55.245044,-161.997477                                                                                                
Aleutians West Census Area:51.948964,+179.621188                                                                                            
Anchorage Municipality:61.17425,-149.284329                                                                                                       
Bethel Census Area:60.929141,-160.152625                                                                                                  
Bristol Bay Borough:58.741647,-156.966909                                                                                                        
Denali Borough:63.682039,-150.027016                                                                                                            
Dillingham Census Area:59.543326,-158.267123                                                                                                
Fairbanks North Star Borough:64.676044,-146.548159                                                                                             
Haines Borough:59.098404,-135.575791                                                                                                           
Hoonah-Angoon Census Area:58.253462,-136.320731                                                                                              
Juneau City and Borough:58.37291,-134.178445                                                                                                   
Kenai Peninsula Borough:60.360766,-152.05264                                                                                               
